profile_id,position_id,position_name,profile_name,hard_skills,soft_skills,description
29,70000510,קניין רכש טכני,Engineering Procurement Specialist,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Engineering Procurement Specialist' כולל התמחות במיומנויות כגון Procurement & Inventory, Business Operations, Budgeting & Financial Control, לצד מיומנויות רכות כמו ניהול ממשקים, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
30,70000510,קניין רכש טכני,Services Procurement Lead,"[{""skill"": ""Procurement & Inventory"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Customer Service Operations"", ""level"": 1}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Services Procurement Lead' כולל התמחות במיומנויות כגון Procurement & Inventory, Business Operations, Budgeting & Financial Control, לצד מיומנויות רכות כמו ניהול ממשקים, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
31,70000511,מהנדס מכונות,Mechanical Design Engineer – SolidWorks,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}]","פרופיל 'Mechanical Design Engineer – SolidWorks' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
32,70000511,מהנדס מכונות,Manufacturing Engineer – production lines,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}]","פרופיל 'Manufacturing Engineer – production lines' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
33,70000511,מהנדס מכונות,Project Engineer – materials & integration,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}]","פרופיל 'Project Engineer – materials & integration' כולל התמחות במיומנויות כגון Organizational Processes, Training Development, Business Operations, לצד מיומנויות רכות כמו למידה וחשיבה, צוות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
34,70000512,מהנדס חשמל ובקרה,PLC Control Engineer – Siemens/AB,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'PLC Control Engineer – Siemens/AB' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
35,70000512,מהנדס חשמל ובקרה,High Voltage Electrical Engineer,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'High Voltage Electrical Engineer' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
36,70000512,מהנדס חשמל ובקרה,Embedded RT Control Engineer,"[{""skill"": ""Project Management"", ""level"": 1}, {""skill"": ""Risk Management"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Software Architecture Fundamentals"", ""level"": 1}]","[{""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'Embedded RT Control Engineer' כולל התמחות במיומנויות כגון Project Management, Risk Management, Business Operations, לצד מיומנויות רכות כמו אנליטיקה, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
37,70000513,מנהל תיקי לקוחות,Enterprise Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל 'Enterprise Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים, תכנון וראיה אינטגרטיבית. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
38,70000513,מנהל תיקי לקוחות,SaaS Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}]","פרופיל 'SaaS Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
39,70000513,מנהל תיקי לקוחות,SMB Account Manager,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 4}]","[{""skill"": ""ניהול ממשקים"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'SMB Account Manager' כולל התמחות במיומנויות כגון Customer Service Operations, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו ניהול ממשקים, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
40,70000514,מנהלת משרד ועוזרת אישית,Executive PA – CEO Support,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'Executive PA – CEO Support' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, לצד מיומנויות רכות כמו תפקוד בין אישי, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
41,70000514,מנהלת משרד ועוזרת אישית,Office Operations Manager,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Budgeting & Financial Control"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'Office Operations Manager' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, Budgeting & Financial Control, לצד מיומנויות רכות כמו תפקוד בין אישי, למידה וחשיבה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
42,70000514,מנהלת משרד ועוזרת אישית,HR Admin & Employee Experience,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'HR Admin & Employee Experience' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, Training Development, לצד מיומנויות רכות כמו תפקוד בין אישי, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
43,70000515,"עו""ד ומזכיר חברה",Corporate Secretary – Governance & Boards,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Technical Writing"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'Corporate Secretary – Governance & Boards' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, Technical Writing, לצד מיומנויות רכות כמו מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
44,70000515,"עו""ד ומזכיר חברה",Commercial Lawyer – Contracts,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Technical Writing"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}]","פרופיל 'Commercial Lawyer – Contracts' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, Technical Writing, לצד מיומנויות רכות כמו מקצועיות, אנליטיקה. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
45,70000515,"עו""ד ומזכיר חברה",Labor Law Attorney – HR Support,"[{""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Organizational Processes"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'Labor Law Attorney – HR Support' כולל התמחות במיומנויות כגון Business Operations, Organizational Processes, לצד מיומנויות רכות כמו מקצועיות, תפקוד בין אישי. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
46,70000516,בודק תוכנה ידני/אוטומציה,Manual QA – Functional & UAT,"[{""skill"": ""Frontend Development"", ""level"": 1}, {""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Full Stack Development"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'Manual QA – Functional & UAT' כולל התמחות במיומנויות כגון Frontend Development, Backend Development, Full Stack Development, לצד מיומנויות רכות כמו למידה וחשיבה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
47,70000516,בודק תוכנה ידני/אוטומציה,Automation QA – Selenium/Cypress,"[{""skill"": ""Frontend Development"", ""level"": 1}, {""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Full Stack Development"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}]","פרופיל 'Automation QA – Selenium/Cypress' כולל התמחות במיומנויות כגון Frontend Development, Backend Development, Full Stack Development, לצד מיומנויות רכות כמו למידה וחשיבה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
48,70000516,בודק תוכנה ידני/אוטומציה,Product QA – customer experience,"[{""skill"": ""Frontend Development"", ""level"": 1}, {""skill"": ""Backend Development"", ""level"": 1}, {""skill"": ""Full Stack Development"", ""level"": 1}, {""skill"": ""UX Writing Basics"", ""level"": 1}]","[{""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Product QA – customer experience' כולל התמחות במיומנויות כגון Frontend Development, Backend Development, Full Stack Development, לצד מיומנויות רכות כמו למידה וחשיבה, מקצועיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
49,70000517,חשב שכר בכיר,Private Sector Payroll Expert,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Excel Advanced"", ""level"": 1}, {""skill"": ""Excel"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}, {""skill"": ""ניהול זמן"", ""level"": 1}]","פרופיל 'Private Sector Payroll Expert' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Business Operations, Excel Advanced, לצד מיומנויות רכות כמו מקצועיות, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
50,70000517,חשב שכר בכיר,Public Sector Payroll Specialist,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Excel Advanced"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}]","פרופיל 'Public Sector Payroll Specialist' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Business Operations, Excel Advanced, לצד מיומנויות רכות כמו מקצועיות, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
51,70000517,חשב שכר בכיר,Tech Payroll & HRIS Specialist,"[{""skill"": ""Budgeting & Financial Control"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""Excel Advanced"", ""level"": 1}]","[{""skill"": ""מקצועיות"", ""level"": 1}, {""skill"": ""חוסן"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Tech Payroll & HRIS Specialist' כולל התמחות במיומנויות כגון Budgeting & Financial Control, Business Operations, Excel Advanced, לצד מיומנויות רכות כמו מקצועיות, חוסן. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
52,70000518,"מהנדס או""ש (שיטות)",Process Analyst – BPMN Mapping,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 3}, {""skill"": ""KPI Analysis"", ""level"": 1}, {""skill"": ""Training Development"", ""level"": 1}]","[{""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}]","פרופיל 'Process Analyst – BPMN Mapping' כולל התמחות במיומנויות כגון Organizational Processes, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו תכנון וראיה אינטגרטיבית, הובלה לתוצאות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
53,70000518,"מהנדס או""ש (שיטות)",Continuous Improvement Project Lead,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 1}]","[{""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}]","פרופיל 'Continuous Improvement Project Lead' כולל התמחות במיומנויות כגון Organizational Processes, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו תכנון וראיה אינטגרטיבית, הובלה לתוצאות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
54,70000518,"מהנדס או""ש (שיטות)",Industrial Engineer – production optimization,"[{""skill"": ""Organizational Processes"", ""level"": 1}, {""skill"": ""Business Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 1}, {""skill"": ""Data Analysis"", ""level"": 1}]","[{""skill"": ""תכנון וראיה אינטגרטיבית"", ""level"": 1}, {""skill"": ""הובלה לתוצאות"", ""level"": 1}, {""skill"": ""אנליטיקה"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}]","פרופיל 'Industrial Engineer – production optimization' כולל התמחות במיומנויות כגון Organizational Processes, Business Operations, KPI Analysis, לצד מיומנויות רכות כמו תכנון וראיה אינטגרטיבית, הובלה לתוצאות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
55,70000519,מעצב UX/UI,UX Research Specialist,"[{""skill"": ""UX Writing Basics"", ""level"": 4}, {""skill"": ""Digital Content Production"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""למידה וחשיבה"", ""level"": 1}]","פרופיל 'UX Research Specialist' כולל התמחות במיומנויות כגון UX Writing Basics, Digital Content Production, לצד מיומנויות רכות כמו תפקוד בין אישי, יצירתיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
56,70000519,מעצב UX/UI,UI Designer – Design System,"[{""skill"": ""UX Writing Basics"", ""level"": 4}, {""skill"": ""Digital Content Production"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""מקצועיות"", ""level"": 1}]","פרופיל 'UI Designer – Design System' כולל התמחות במיומנויות כגון UX Writing Basics, Digital Content Production, לצד מיומנויות רכות כמו תפקוד בין אישי, יצירתיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
57,70000519,מעצב UX/UI,Product Designer – E2E flows,"[{""skill"": ""UX Writing Basics"", ""level"": 1}, {""skill"": ""Digital Content Production"", ""level"": 1}]","[{""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""יצירתיות"", ""level"": 1}, {""skill"": ""צוות"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Product Designer – E2E flows' כולל התמחות במיומנויות כגון UX Writing Basics, Digital Content Production, לצד מיומנויות רכות כמו תפקוד בין אישי, יצירתיות. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
58,70000520,מנהל צוות שירות,Call Center Team Lead – SLA Focus,"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""פיתוח עובדים"", ""level"": 1}]","פרופיל 'Call Center Team Lead – SLA Focus' כולל התמחות במיומנויות כגון Customer Service Operations, KPI Analysis, לצד מיומנויות רכות כמו מנהיגות, פיתוח עובדים. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
59,70000520,מנהל צוות שירות,Technical Support Team Lead,"[{""skill"": ""Customer Service Operations"", ""level"": 4}, {""skill"": ""KPI Analysis"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""פיתוח עובדים"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}]","פרופיל 'Technical Support Team Lead' כולל התמחות במיומנויות כגון Customer Service Operations, KPI Analysis, לצד מיומנויות רכות כמו מנהיגות, פיתוח עובדים. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
60,70000520,מנהל צוות שירות,Customer Experience Leader (VoC),"[{""skill"": ""Customer Service Operations"", ""level"": 1}, {""skill"": ""KPI Analysis"", ""level"": 1}]","[{""skill"": ""מנהיגות"", ""level"": 1}, {""skill"": ""פיתוח עובדים"", ""level"": 1}, {""skill"": ""תפקוד בין אישי"", ""level"": 1}, {""skill"": ""תקשורת"", ""level"": 1}]","פרופיל 'Customer Experience Leader (VoC)' כולל התמחות במיומנויות כגון Customer Service Operations, KPI Analysis, לצד מיומנויות רכות כמו מנהיגות, פיתוח עובדים. הפרופיל משקף מומחיות תפקודית ויכולת ביצוע גבוהה בתחום."
